Rank,Pollster,Pollster Rating ID,Polls Analyzed,NCPP/AAPOR/Roper,Banned by 538,Predictive Plus-Minus,538 Grade,Mean-Reverted Bias,Races Called Correctly,Misses Outside MOE,Simple Average Error,Simple Expected Error,Simple Plus-Minus,Advanced Plus-Minus,Mean-Reverted Advanced Plus Minus,# of Polls for Bias Analysis,Bias,House Effect,Average Distance from Polling Average (ADPA),Herding Penalty
1,Selzer & Co.,304,50,yes,no,-1.164872371,A+,0.106846388,0.78,0.24,4.562133331,5.959977154,-1.392989483,-1.623991287,-1.006764055,33,0.201304927,-0.243631053,5.339088853,0
2,ABC News/The Washington Post,3,82,yes,no,-0.99196011,A+,0.919806741,0.737804878,0.085365854,3.05350727,4.972745084,-1.914383474,-1.328716977,-0.980676124,77,1.256718524,1.23127928,3.827491674,0.132349272
3,Siena College/The New York Times Upshot,448,83,yes,no,-0.954452104,A+,1.142941471,0.728915663,0.204819277,4.352681654,5.36492002,-1.007384026,-1.309740902,-1.055391385,82,1.422586092,0.231203998,3.574593668,0.225521742
4,IBD/TIPP,144,31,yes,no,-0.938424423,A+,-0.832350509,0.806451613,0.032258065,2.085001546,4.009343275,-1.919487389,-1.512109181,-0.792614384,31,-1.587915728,-1.814818206,3.70419522,0.099454588
5,Field Research Corp. (Field Poll),94,25,yes,no,-0.906694788,A/B,-0.682867914,1,0.2,4.103997269,5.990497434,-1.881645825,-2.473642991,-0.923133985,18,-2.455076324,0.725440897,4.752570928,0
6,SurveyUSA,325,834,yes,no,-0.875233087,A,0.048469122,0.893285372,0.195443645,4.704052175,5.683743839,-0.974837324,-1.032314129,-0.987296605,673,0.051270169,-0.531592683,4.94552007,0.136141502
7,Marquette University Law School,195,13,yes,no,-0.869700286,A/B,0.38310114,0.807692308,0.076923077,2.932985893,6.054269111,-3.116428877,-3.454291737,-1.235316783,9,1.407818264,-0.5141475,4.347614329,0.153877928
8,Siena College,305,55,yes,no,-0.829366047,A,-0.53660202,0.872727273,0.254545455,5.020084867,5.578377512,-0.553438304,-1.225251368,-0.803668444,50,-0.844322739,-1.053552798,4.695373959,0.179044574
9,Landmark Communications,166,48,no,no,-0.786005597,A,1.414304426,0.770833333,0.166666667,4.44842573,5.431063119,-0.977783049,-1.360030188,-0.912095512,42,2.192652975,-1.70716529,4.390866224,0.058361581
10,Research & Polling Inc.,280,40,no,no,-0.751383384,A,-0.608098182,0.875,0.1,4.338134384,5.568008057,-1.225019332,-1.767130073,-1.045516723,39,-1.030772772,0.47934301,4.642076464,0.314931303
11,AtlasIntel,546,22,yes,no,-0.749968515,A,0.43546164,0.75,0.227272727,4.584125345,5.225420257,-0.636440571,-1.023215482,-0.562768515,14,0.995340892,-1.740201084,6.067670032,0
12,MassINC Polling Group,198,20,yes,no,-0.7440585,A/B,-0.785046574,0.85,0.2,4.528241825,6.208162293,-1.675066128,-1.257475622,-0.586580623,14,-2.180184501,-1.995397342,5.796144353,0.081283346
13,Monmouth University,215,120,yes,no,-0.707623853,A,2.087707895,0.783333333,0.266666667,5.895935599,6.2815591,-0.38076916,-1.036981999,-0.864348347,83,2.741045688,-0.117475519,4.889776771,0.271113005
14,Marist College,183,189,yes,no,-0.669456195,A,0.106987557,0.833333333,0.26984127,5.503499349,6.156418871,-0.648065182,-0.727297537,-0.637006178,121,0.131435867,0.02968626,4.997716942,0.021915625
15,Fox News/Beacon Research/Shaw & Co. Research,103,46,yes,no,-0.652682828,A,1.807602334,0.75,0.369565217,5.562536032,5.996276726,-0.428886353,-0.769742992,-0.515020657,31,3.073489774,0.86634591,4.616863057,0
16,Stockton University,317,11,yes,no,-0.598886534,A/B,0.858687434,0.909090909,0.181818182,4.268058083,5.366326915,-1.093414492,-1.443419812,-0.459254256,11,2.698824102,0.738611168,6.075825607,0
17,Data Orbital,73,13,yes,no,-0.560137565,A/B,0.551591578,0.961538462,0,2.397174542,4.830461731,-2.428432848,-1.487450615,-0.565900437,13,1.449840252,-1.198510417,4.04626181,0.443716858
18,University of North Florida,360,10,yes,no,-0.547218379,A/B,0.890294372,0.4,0.3,4.059848022,6.303158922,-2.238456559,-1.393749349,-0.431460861,7,3.979950496,1.022124882,3.951826012,0.066674193
19,Blum & Weprin Associates,32,19,yes,no,-0.537080557,A/B,-0.693058625,0.947368421,0.210526316,4.740097849,5.24532323,-0.500371041,-2.155558391,-0.469106622,17,-3.425431644,0.552014794,4.496007924,0.072994116
20,Greenberg Quinlan Rosner/American Viewpoint,127,8,yes,no,-0.4631543,A/B,-0.666618653,1,0.5,4.377521992,5.458382514,-1.076006182,-1.622196341,-0.359766089,6,-4.268723806,1.512220144,5.405572548,0
21,Los Angeles Times,172,36,yes,no,-0.447896899,A/B,-0.17038267,0.847222222,0.277777778,5.032578468,6.345402786,-1.307969977,-0.847927211,-0.329905433,23,-0.603867324,0.865099155,5.176007333,0.124141068
